"equator_url","guideline_id","acronym","title"
"https://www.equator-network.org/reporting-guidelines/consolidated-health-economic-evaluation-reporting-standards-for-interventions-that-use-artificial-intelligence-cheers-ai/","cheers-ai","CHEERS-AI","Consolidated Health Economic Evaluation Reporting Standards for Interventions that use Artificial Intelligence (CHEERS-AI)"
"https://www.equator-network.org/reporting-guidelines/report-scs-minimum-reporting-standards-for-spinal-cord-stimulation-studies-in-spinal-cord-injury/","report-scs","REPORT-SCS","REPORT-SCS : minimum reporting standards for spinal cord stimulation studies in spinal cord injury"
"https://www.equator-network.org/reporting-guidelines/triple-c-reporting-principles-for-case-study-evaluations-of-the-role-of-context-in-complex-interventions/","triple-c","TRIPLE C","TRIPLE C reporting principles for case study evaluations of the role of context in complex interventions"
"https://www.equator-network.org/reporting-guidelines/the-reporting-recommendations-intended-for-pharmaceutical-risk-minimization-evaluation-studies-standards-for-reporting-of-implementation-studies-extension-rimes-se/","rimes-se","RIMES-SE","The Reporting Recommendations Intended for Pharmaceutical Risk Minimization Evaluation Studies: Standards for Reporting of Implementation Studies Extension (RIMES-SE)"
"https://www.equator-network.org/reporting-guidelines/reporting-guidelines-for-precision-medicine-research-of-clinical-relevance-the-beprecise-checklist/","beprecise","BePRECISE","Reporting guidelines for precision medicine research of clinical relevance: the Be PRECISE checklist"
"https://www.equator-network.org/reporting-guidelines/we-dont-know-what-you-did-last-summer-on-the-importance-of-transparent-reporting-of-reaction-time-data-pre-processing/","we-don-t-know-what-you-did-last-summer","","We don’t know what you did last summer. On the importance of transparent reporting of reaction time data pre-processing"
"https://www.equator-network.org/reporting-guidelines/introducing-sonhr-reporting-guidelines-for-social-networks-in-health-research/","sonhr","SoNHR","Introducing So NHR-Reporting guidelines for Social Networks In Health Research"
"https://www.equator-network.org/reporting-guidelines/guideline-for-reporting-systematic-reviews-of-outcome-measurement-instruments-omis-prisma-cosmin-for-omis-2024/","prisma-cosmin-for-omis","PRISMA-COSMIN for OMIs","Guideline for reporting systematic reviews of outcome measurement instruments (OMIs) : PRISMA-COSMIN for OMIs 2024"
"https://www.equator-network.org/reporting-guidelines/trial-forge-guidance-4-a-guideline-for-reporting-the-results-of-randomised-studies-within-a-trial-swats/","trial-forge-guidance-4-a-guideline-for-reporting","","Trial Forge Guidance 4: a guideline for reporting the results of randomised Studies Within A Trial (SWATs)"
"https://www.equator-network.org/reporting-guidelines/care-radiology-statement-explanation-and-elaboration-reporting-guideline-for-radiological-case-reports/","care-radiology","CARE-radiology","CARE-radiology statement explanation and elaboration: reporting guideline for radiological case reports"
