"guideline_id","acronym","file_index","file_label","source_url","host","ext","local_path","status","http_status","content_type","bytes","sha256","detected","type_mismatch"
"stress","STRESS",2,"STRESS-ABS (Word)","https://www.tandfonline.com/doi/suppl/10.1080/17477778.2018.1442155/suppl_file/tjsm_a_1442155_sm3069.docx","www.tandfonline.com","docx","data-raw/downloads/stress/02_447ad419.docx","ok",NA,NA,5897,"0d4ac9332d6ccf0771115b305adc35c9b38afb237338dfe82f0711d3b39d3540","html",TRUE
"stress","STRESS",3,"STRESS-SD (Word)","https://www.tandfonline.com/doi/suppl/10.1080/17477778.2018.1442155/suppl_file/tjsm_a_1442155_sm3083.docx","www.tandfonline.com","docx","data-raw/downloads/stress/03_dc95f347.docx","ok",NA,NA,5897,"8a4e2904c4211c3c4bf967dcfc20beae62bcc17f0da137dc588517131dd96e30","html",TRUE
"emerge-685e05","EMERGE",1,"EMERGE Checklist (Word)","https://www.equator-network.org/wp-content/uploads/2018/08/2018-EMERGE-guidelines-Checklist-V1.docx","www.equator-network.org","docx","data-raw/downloads/emerge-685e05/01_e60d9446.docx","ok",NA,NA,307938,"6f24685d0b5bd761deb47d7d4d36f4a3c30ed085918c1b3c60022c8167167c37","docx",FALSE
"prisma-dta","PRISMA-DTA",1,"Word","https://www.prisma-statement.org/s/PRISMA-DTA-Checklist-wx4t.docx","www.prisma-statement.org","docx","data-raw/downloads/prisma-dta/01_5cfe8c20.docx","ok",NA,NA,28581,"d4a9ac52d3fd43b832a93909b62a7de34613f082a781442171c125d4f142912a","docx",FALSE
"prisma-dta","PRISMA-DTA",2,"PDF","https://www.prisma-statement.org/s/PRISMA-DTA-Checklist-xh5j.pdf","www.prisma-statement.org","pdf","data-raw/downloads/prisma-dta/02_76055f64.pdf","ok",NA,NA,59277,"861fb09de8c813b184ae2d95b6b50727e355d9a338475c682f92f5f7709c6fbb","pdf",FALSE
"prisma-dta","PRISMA-DTA",3,"Word","https://www.prisma-statement.org/s/PRISMA-DTA-for-Abstracts-Checklist-g623.docx","www.prisma-statement.org","docx","data-raw/downloads/prisma-dta/03_fd53fda1.docx","ok",NA,NA,25576,"e7e30f00fc7af64f23bde9c9299fcb86cf77b7747bfc5ab1be9f833a22be98ec","docx",FALSE
"prisma-dta","PRISMA-DTA",4,"PDF","https://www.prisma-statement.org/s/PRISMA-DTA-for-Abstracts-Checklist-jlfm.pdf","www.prisma-statement.org","pdf","data-raw/downloads/prisma-dta/04_4b57e06c.pdf","ok",NA,NA,45451,"27079e5e11ef1ace2ff933bb24e11bb590f374f883f2900023e6c06a4c920c0f","pdf",FALSE
"prisma-dta","PRISMA-DTA",5,"guideline development executive summary (PDF)","https://www.equator-network.org/wp-content/uploads/2009/02/PRISMA-DTA-Executive-Summary.pdf","www.equator-network.org","pdf","data-raw/downloads/prisma-dta/05_79ff1240.pdf","ok",NA,NA,141309,"ef9dec2085147e3f84fcca8c55f9d09d97a71687770722991ed3092fdfd2e171","pdf",FALSE
"prisma-dta","PRISMA-DTA",6,"guideline development protocol (PDF)","https://www.equator-network.org/wp-content/uploads/2009/02/PRISMA-DTA-Protocol.pdf","www.equator-network.org","pdf","data-raw/downloads/prisma-dta/06_fdaafe6c.pdf","ok",NA,NA,212050,"8251116e6cd5ad85cb484f53666fe3afe3e1ec9f7fa1d37cccda956a7450651f","pdf",FALSE
"sw-crt","SW-CRT",1,"Read the protocol (PDF)","https://www.equator-network.org/wp-content/uploads/2009/02/Consort-SW-Protocol-V1.pdf","www.equator-network.org","pdf","data-raw/downloads/sw-crt/01_df1444bf.pdf","ok",NA,NA,259375,"ea1dbb2ccc1f2f87204908f50c90cf93bd1984777648a3a75eae1b5da64a9b4d","pdf",FALSE
"spirit-pro","SPIRIT-PRO",1,"Japanese (PDF)","https://www.lifescience.co.jp/pro/pro_pdf/PDF7.pdf","www.lifescience.co.jp","pdf","data-raw/downloads/spirit-pro/01_b6d1d4ac.pdf","ok",NA,NA,821083,"9213e0d9a6ff20e13976a22b1f4a2a96a0c21c493048e093c49afe606c7c1ae5","pdf",FALSE
"tidier-php","TIDieR-PHP",1,"TIDieR-PHP checklist (PDF)","https://www.equator-network.org/wp-content/uploads/2018/05/TIDieR-PHP-checklist.pdf","www.equator-network.org","pdf","data-raw/downloads/tidier-php/01_9cc514b4.pdf","ok",NA,NA,213670,"a7705f1cfff7544cea6ee9b7306252acc890a02c24d4c037c604c90a326216ca","pdf",FALSE
"consort-spi-2018","CONSORT-SPI 2018",1,"CONSORT-SPI 2018 checklist (Word)","https://www.equator-network.org/wp-content/uploads/2018/07/CONSORT-SPI-2018-Checklist.docx","www.equator-network.org","docx","data-raw/downloads/consort-spi-2018/01_dd1a4404.docx","ok",NA,NA,38236,"353443d74ee56df88387340b40df7da97c88c1ca4f423627e85dc10dfa5ad5a1","docx",FALSE
"consort-spi-2018","CONSORT-SPI 2018",2,"CONSORT-SPI 2018 checklist (PDF)","https://www.equator-network.org/wp-content/uploads/2018/07/CONSORT-SPI-2018-Checklist.pdf","www.equator-network.org","pdf","data-raw/downloads/consort-spi-2018/02_3e21551b.pdf","ok",NA,NA,59112,"d3cbd2779128d1e4579ff9490bdb25a524acb273c1dc81e0730e354188272299","pdf",FALSE
"consort-spi-2018","CONSORT-SPI 2018",3,"CONSORT-SPI 2018 abstract checklist (Word)","https://www.equator-network.org/wp-content/uploads/2018/07/CONSORT-SPI-2018-Abstract-Checklist.docx","www.equator-network.org","docx","data-raw/downloads/consort-spi-2018/03_9fdcf22d.docx","ok",NA,NA,29649,"a15cc58c3ba7e4eeae400e0c2a7929ce7c0eb9e43a86c0a4262471006259201f","docx",FALSE
"consort-spi-2018","CONSORT-SPI 2018",4,"CONSORT-SPI 2018 abstract checklist (PDF)","https://www.equator-network.org/wp-content/uploads/2018/07/CONSORT-SPI-2018-Abstract-Checklist.pdf","www.equator-network.org","pdf","data-raw/downloads/consort-spi-2018/04_a15ee6cb.pdf","ok",NA,NA,22782,"14ec0cd7e19d6d3146e3f71e8904f89d9aa0f4e8e6b408a46c5e888054fca7dc","pdf",FALSE
"consort-spi-2018","CONSORT-SPI 2018",5,"CONSORT-SPI 2018 checklist for cluster trials (Word)","https://www.equator-network.org/wp-content/uploads/2018/07/CONSORT-SPI-2018-Checklist-with-Cluster-Extension.docx","www.equator-network.org","docx","data-raw/downloads/consort-spi-2018/05_8fdcb42d.docx","ok",NA,NA,37441,"96db555d495c0775086b0a6c11d39eaa7e0b61696d8fc95ed875e7bd613852b1","docx",FALSE
"consort-spi-2018","CONSORT-SPI 2018",6,"CONSORT-SPI 2018 checklist for cluster trials (PDF)","https://www.equator-network.org/wp-content/uploads/2018/07/CONSORT-SPI-2018-Checklist-with-Cluster-Extension.pdf","www.equator-network.org","pdf","data-raw/downloads/consort-spi-2018/06_257aaa3a.pdf","ok",NA,NA,69962,"c9d099f6da445811f2a8b62946149b08e0b9f10c86edc4775e487d94840bba65","pdf",FALSE
"consort-spi-2018","CONSORT-SPI 2018",7,"CONSORT-SPI 2018 checklist for cluster trial abstracts (Word)","https://www.equator-network.org/wp-content/uploads/2018/07/CONSORT-SPI-Abstract-for-Clusters-Checklist.docx","www.equator-network.org","docx","data-raw/downloads/consort-spi-2018/07_c5d0f677.docx","ok",NA,NA,29560,"1239a77766044983ba15b209a229e9a18b5649a7d39301d43744d61a4776f85c","docx",FALSE
"consort-spi-2018","CONSORT-SPI 2018",8,"CONSORT-SPI 2018 checklist for cluster trial abstracts (PDF)","https://www.equator-network.org/wp-content/uploads/2018/07/CONSORT-SPI-Abstract-for-Clusters-Checklist.pdf","www.equator-network.org","pdf","data-raw/downloads/consort-spi-2018/08_e996794c.pdf","ok",NA,NA,31021,"e3c21763b2d0a75a7c1855035f47f905903da2ff517863c223db099ef695a495","pdf",FALSE
"prisma-scr","PRISMA-ScR",1,"PDF","https://www.prisma-statement.org/s/PRISMA-ScR-Fillable-Checklist_11Sept2019.pdf","www.prisma-statement.org","pdf","data-raw/downloads/prisma-scr/01_86d9d7aa.pdf","ok",NA,NA,509787,"1b70ecd1d4fc1105d9abc4996e6a3d1822986d00fdf22061f3aa8b9c237facf2","pdf",FALSE
"prisma-scr","PRISMA-ScR",2,"Word","https://www.prisma-statement.org/s/PRISMA-ScR-Fillable-Checklist_10Sept2019.docx","www.prisma-statement.org","docx","data-raw/downloads/prisma-scr/02_628bf68d.docx","ok",NA,NA,118043,"61be5f8e14c03c834f8d927a206fbd3945f7ba1375ad767e231356d404e75ccb","docx",FALSE
"prisma-scr","PRISMA-ScR",3,"Japanese (Word)","https://www.equator-network.org/wp-content/uploads/2021/06/PRISMA-ScR-Checklist-Japanese.docx","www.equator-network.org","docx","data-raw/downloads/prisma-scr/03_1362b934.docx","ok",NA,NA,118245,"0b234979065a19d01ec193cac39cb77a694cfb4dbb7d70c838eefde8b2c8dee3","docx",FALSE
"prisma-scr","PRISMA-ScR",4,"executive summary (PDF)","https://www.equator-network.org/wp-content/uploads/2009/02/Executive-summary_ScR_Dec-9.pdf","www.equator-network.org","pdf","data-raw/downloads/prisma-scr/04_47839268.pdf","ok",NA,NA,332659,"890eae660189066adc228102129d6965ed26e7a0ea52978c1472f59be137be0e","pdf",FALSE
